League,Team,Main Formation,Goals scored,Goals Conceded,Goal Differential,League Placement,Shot on Target,Possesion Time %,Pass completion %,Number of Takeaways,Squad value 
Serie A,Roma,3-4-2-1,50,38,12,6,155,53.4,79.5,992,361.38
Serie A,Salernitana,3-4-2-1,48,62,-14,15,115,48.48,76.7,916,118.35
Serie A,Sampdoria,4-3-3,24,71,-47,20,114,49.02,76.1,906,82.96
Serie A,Sassuolo,4-2-3-1,47,61,-14,13,161,60,80.9,780,232.2
Serie A,Spezia,3-4-1-2,31,62,-31,18,120,56,75.1,923,115.81
Serie A,Torino,3-4-2-1,42,41,1,10,146,51,79.5,765,197.19
Serie A,Udinese,3-5-2,47,48,-1,12,145,57,79.8,965,188.86
,,,,,,,,,,,
Ligue 1,Brest,4-2-3-1,44,54,-10,14,132,45.38,75.9,1180,76.65
Ligue 1,Clermont,3-5-2,45,49,-4,8,139,48.45,79.1,1125,48
Ligue 1,Auxerre,4-2-3-1,35,63,-28,17,117,42,77.5,1128,54.8
Ligue 1,Lens,3-4-3,68,29,39,2,177,55.32,84,879,238.20
Ligue 1,Lille,4-2-3-1,65,44,21,5,201,60.3,84.4,936,247.95
Ligue 1,Lorient,3-4-2-1,52,53,-1,10,149,47.2,82,936,175.45
Ligue 1,Lyon,4-2-3-1,65,47,18,7,199,59.47,83.5,1204,350.95
Ligue 1,Marseille,4-4-2,67,40,27,3,173,56.81,81.3,1105,331.55
Ligue 1,Ajaccio,4-4-2,23,74,-51,18,81,41.8,73.4,1057,27
Ligue 1,AS Monaco,3-4-2-1,70,58,12,6,199,47.2,78.4,1122,368.3
Ligue 1,Montpellier,4-2-3-1,65,62,3,12,165,44,76.6,1088,142.9
Ligue 1,Nantes,3-4-2-1,37,55,-18,16,151,49.8,77.4,1140,119.28
Ligue 1,Nice,4-3-3,48,37,11,9,187,53,83.4,1231,310.8
Ligue 1,Paris Saint-Germain,3-5-2,89,40,49,1,242,70.3,89.5,908,891.25
Ligue 1,Reims,4-2-3-1,45,45,0,11,165,50,77.8,1100,159.05
Ligue 1,Rennes,4-4-2,69,39,30,4,189,55,83.1,941,387.75
Ligue 1,Strasbourg,3-5-2,51,59,-8,15,150,65,77.2,1127,123.55
Ligue 1,Toulouse,4-3-3,51,57,-6,13,171,48,80,1125,104.8
Ligue 1,Troyes,3-4-2-1,45,81,-36,19,130,42.18,78.7,1006,76.3
Ligue 1,Angers,5-3-2,33,81,-48,20,121,47.77,80.8,1027,71.8
